Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,Vol/OI,IV,Time
JWN,31.07,Put,31,9/6/2019,1,0.22,0.26,0.3,0.25,1344,101,13.31,43.89%,9/5/2019
KSS,48.25,Call,48,9/6/2019,1,0.5,0.55,0.6,0.55,6360,478,13.31,40.94%,9/5/2019
UBER,32.51,Put,20,1/15/2021,498,1.55,1.65,1.75,1.7,4016,304,13.21,52.70%,9/5/2019
NVDA,179.74,Put,172.5,9/6/2019,1,0.09,0.1,0.11,0.11,3304,253,13.06,49.61%,9/5/2019
C,66.34,Put,65.5,9/20/2019,15,1.01,1.02,1.03,0.89,1388,107,12.97,24.18%,9/5/2019
INTC,50.1,Call,60,11/15/2019,71,0.14,0.15,0.16,0.16,4149,323,12.85,25.71%,9/5/2019
BBBY,10.13,Call,10,9/13/2019,8,0.43,0.48,0.52,0.47,14772,1159,12.75,67.19%,9/5/2019
BYND,160.97,Put,65,10/18/2019,43,0.05,0.08,0.1,0.1,1811,144,12.58,109.89%,9/5/2019
MU,49.03,Call,51,9/20/2019,15,0.75,0.76,0.77,0.75,2571,209,12.3,37.69%,9/5/2019
EZPW,7.86,Put,5,3/20/2020,197,0.05,0.1,0.15,0.12,1218,101,12.06,51.00%,9/5/2019
MU,49.03,Call,52,9/13/2019,8,0.19,0.2,0.2,0.19,1242,103,12.06,36.22%,9/5/2019
WMT,115.44,Put,115,9/6/2019,1,0.25,0.27,0.29,0.28,8311,691,12.03,19.53%,9/5/2019
JPM,112.37,Put,113,9/13/2019,8,1.65,1.69,1.72,1.66,1349,113,11.94,20.30%,9/5/2019
MS,42.47,Call,43,9/6/2019,1,0.06,0.07,0.08,0.07,1248,105,11.89,28.03%,9/5/2019
GOOG,1211.38,Call,1230,9/13/2019,8,4.7,4.95,5.2,4.9,1196,101,11.84,16.37%,9/5/2019
BBBY,10.13,Put,10,9/6/2019,1,0.1,0.15,0.2,0.12,1853,157,11.8,84.56%,9/5/2019
CSCO,48.42,Call,49.5,9/13/2019,8,0.2,0.21,0.22,0.25,3436,292,11.77,22.34%,9/5/2019
LULU,188.41,Put,155,9/13/2019,8,0.8,0.88,0.95,0.85,1672,144,11.61,93.76%,9/5/2019
NVDA,179.74,Call,180,9/6/2019,1,1.34,1.35,1.35,1.36,15209,1315,11.57,39.45%,9/5/2019
MSFT,140.05,Put,141,9/6/2019,1,1.17,1.21,1.24,1.37,1708,149,11.46,27.73%,9/5/2019
JKS,22.45,Put,18,10/18/2019,43,0.45,0.5,0.55,0.51,2369,209,11.33,72.96%,9/5/2019
GEO,17.85,Call,17.5,9/20/2019,15,0.9,0.93,0.95,0.9,9955,880,11.31,49.19%,9/5/2019
AMZN,1840.72,Put,1815,9/6/2019,1,1,1.21,1.43,1.15,1610,143,11.26,22.18%,9/5/2019
ATVI,54.58,Call,56,9/13/2019,8,0.56,0.59,0.61,0.61,1293,115,11.24,36.10%,9/5/2019
TWTR,45.3,Put,45,9/6/2019,1,0.2,0.21,0.22,0.22,1873,169,11.08,37.20%,9/5/2019
BAC,28.12,Put,28.5,9/20/2019,15,0.72,0.74,0.75,0.74,2283,208,10.98,23.76%,9/5/2019
MU,49.03,Put,49,1/17/2020,134,5.05,5.1,5.15,5.1,5571,508,10.97,45.02%,9/5/2019
MA,292.08,Call,292.5,9/13/2019,8,3.7,3.78,3.85,3.7,2270,209,10.86,22.26%,9/5/2019
AMZN,1840.72,Call,1865,9/6/2019,1,1,1.13,1.25,1.2,2136,198,10.79,21.14%,9/5/2019
JWN,31.07,Call,31,9/13/2019,8,0.72,0.79,0.86,0.88,2076,197,10.54,45.70%,9/5/2019
FB,190.9,Put,190,9/13/2019,8,2.24,2.34,2.43,2.38,6936,659,10.53,25.31%,9/5/2019
AMZN,1840.72,Put,1835,9/6/2019,1,5,5.2,5.4,5.44,3376,327,10.32,20.89%,9/5/2019
USB,53.27,Put,53,9/20/2019,15,0.68,0.7,0.72,0.71,1027,101,10.17,19.98%,9/5/2019
SU,29.52,Call,40,1/15/2021,498,0.57,0.63,0.69,0.68,12165,1204,10.1,22.59%,9/5/2019
M,15.31,Put,15.5,9/6/2019,1,0.23,0.25,0.26,0.24,1704,169,10.08,38.24%,9/5/2019
AAPL,213.28,Put,212.5,9/6/2019,1,0.59,0.63,0.66,0.63,20437,2038,10.03,21.94%,9/5/2019
APH,89.79,Call,100,10/18/2019,43,0.1,0.22,0.35,0.16,1453,145,10.02,19.58%,9/5/2019
LULU,188.41,Put,187.5,9/6/2019,1,8.4,8.58,8.75,8.5,1891,194,9.75,228.25%,9/5/2019
AMZN,1840.72,Put,1812.5,9/6/2019,1,0.82,0.96,1.09,0.85,1286,132,9.74,21.89%,9/5/2019
KO,55.12,Put,55.5,9/6/2019,1,0.41,0.44,0.46,0.42,6250,642,9.74,14.60%,9/5/2019
JPM,112.37,Put,111,9/13/2019,8,0.87,0.89,0.9,0.87,1516,156,9.72,22.33%,9/5/2019
AG,10.28,Call,10.5,9/6/2019,1,0.05,0.08,0.1,0.1,1181,122,9.68,87.53%,9/5/2019
BK,42.82,Put,43,9/20/2019,15,0.82,0.84,0.86,0.75,1099,114,9.64,19.48%,9/5/2019
V,184.73,Call,190,9/13/2019,8,0.32,0.36,0.4,0.32,1616,169,9.56,16.94%,9/5/2019
BABA,178.94,Put,172.5,9/20/2019,15,1.72,1.75,1.78,1.79,16305,1706,9.56,30.32%,9/5/2019
FB,190.9,Put,190,9/6/2019,1,0.67,0.7,0.73,0.67,8505,908,9.37,26.75%,9/5/2019
FEYE,13.59,Call,14,9/13/2019,8,0.3,0.32,0.34,0.31,9132,975,9.37,59.61%,9/5/2019
JPM,112.37,Put,112,9/13/2019,8,1.2,1.21,1.23,1.24,3286,351,9.36,21.75%,9/5/2019
WW,32.01,Call,33,9/6/2019,1,0.05,0.13,0.2,0.08,1141,122,9.35,57.52%,9/5/2019
AAL,27.69,Put,28,9/6/2019,1,0.4,0.41,0.42,0.39,1576,169,9.33,34.21%,9/5/2019
ARCC,18.91,Call,19,10/18/2019,43,0.1,0.15,0.2,0.17,1199,129,9.29,7.37%,9/5/2019
CIEN,39.62,Call,40,9/20/2019,15,0.86,0.91,0.96,1,3089,333,9.28,36.21%,9/5/2019
MRK,86.1,Call,86,9/27/2019,22,1.35,1.37,1.39,1.35,922,100,9.22,14.77%,9/5/2019
NVDA,179.74,Call,177.5,9/6/2019,1,2.82,2.91,3,2.99,8342,905,9.22,43.51%,9/5/2019
KEYS,99.3,Call,100,1/17/2020,134,8.5,8.6,8.7,8.64,3179,347,9.16,35.96%,9/5/2019
WORK,30.01,Call,31,10/18/2019,43,1.75,1.8,1.85,1.8,2416,265,9.12,53.47%,9/5/2019
CAT,122.99,Put,123,9/6/2019,1,0.66,0.68,0.7,0.67,1392,154,9.04,26.03%,9/5/2019
JPM,112.37,Put,112,9/20/2019,15,1.67,1.7,1.73,1.61,1553,174,8.93,20.21%,9/5/2019
NVDA,179.74,Call,182.5,9/6/2019,1,0.5,0.51,0.52,0.52,4634,520,8.91,40.03%,9/5/2019
NVDA,179.74,Call,185,9/6/2019,1,0.15,0.17,0.19,0.17,4403,496,8.88,41.45%,9/5/2019
MGM,27.98,Put,28,9/6/2019,1,0.17,0.19,0.21,0.22,4242,478,8.87,36.04%,9/5/2019
AMZN,1840.72,Put,1840,9/6/2019,1,6.65,7.08,7.5,7.1,1185,135,8.78,19.53%,9/5/2019
CAR,25.33,Call,28,1/17/2020,134,1.7,1.78,1.85,1.76,1201,137,8.77,44.10%,9/5/2019
CGC,26.4,Put,24.5,9/20/2019,15,0.55,0.58,0.6,0.55,884,101,8.75,62.73%,9/5/2019
ITUB,8.28,Call,9,10/18/2019,43,0.1,0.13,0.15,0.15,883,102,8.66,34.52%,9/5/2019
C,66.34,Put,66,9/6/2019,1,0.27,0.29,0.31,0.3,2058,239,8.61,32.65%,9/5/2019
NXPI,106,Call,110,11/15/2019,71,4.55,4.65,4.75,4.64,1120,131,8.55,33.04%,9/5/2019
GM,38.73,Call,41,10/18/2019,43,0.45,0.47,0.49,0.46,1586,187,8.48,23.10%,9/5/2019
LL,11.58,Call,11,9/6/2019,1,0.5,0.63,0.75,0.73,936,112,8.36,156.75%,9/5/2019
C,66.34,Call,66.5,9/6/2019,1,0.31,0.33,0.34,0.33,1477,177,8.34,29.08%,9/5/2019
FB,190.9,Put,192.5,9/6/2019,1,1.96,2.05,2.13,2.15,1950,235,8.3,29.74%,9/5/2019
SAIC,90.44,Call,90,9/20/2019,15,4,4.35,4.7,4.27,1126,136,8.28,54.96%,9/5/2019
GBT,52.66,Put,50,10/18/2019,43,1.65,1.75,1.85,1.85,1193,144,8.28,43.36%,9/5/2019
KO,55.12,Call,55.5,9/13/2019,8,0.27,0.29,0.31,0.27,1167,142,8.22,12.98%,9/5/2019
MIK,7.15,Call,10,12/20/2019,106,0.3,0.4,0.5,0.4,2154,263,8.19,75.48%,9/5/2019
PINS,31.26,Put,35,9/6/2019,1,3.6,3.75,3.9,3.8,1831,224,8.17,138.76%,9/5/2019
BBBY,10.13,Call,11,9/13/2019,8,0.11,0.13,0.14,0.12,1192,146,8.16,66.99%,9/5/2019
S,6.76,Put,6,5/15/2020,253,0.68,0.72,0.76,0.74,4894,600,8.16,53.33%,9/5/2019
VRTX,179.86,Call,185,10/18/2019,43,3.9,4.1,4.3,4.1,2167,268,8.09,24.71%,9/5/2019
CLDR,8.28,Call,9,9/13/2019,8,0.05,0.1,0.15,0.1,2925,362,8.08,67.98%,9/5/2019
MU,49.03,Put,49,9/20/2019,15,1.5,1.52,1.53,1.53,2195,277,7.92,39.52%,9/5/2019
AXL,7.21,Call,8,1/17/2020,134,0.7,0.8,0.9,0.85,1072,137,7.82,64.86%,9/5/2019
LMT,385.15,Call,390,10/18/2019,43,7.4,7.6,7.8,7.7,1610,206,7.82,17.97%,9/5/2019
MSFT,140.05,Call,142,10/4/2019,29,2.31,2.34,2.37,2.26,2574,329,7.82,19.20%,9/5/2019
C,66.34,Call,67,9/6/2019,1,0.14,0.15,0.16,0.16,4357,560,7.78,29.21%,9/5/2019
CMG,838.11,Put,810,10/18/2019,43,15.1,15.55,16,15.5,917,118,7.77,24.86%,9/5/2019
KO,55.12,Put,55.5,9/13/2019,8,0.88,0.93,0.98,0.91,964,124,7.77,22.00%,9/5/2019
NFLX,293.25,Call,285,9/6/2019,1,8.3,8.45,8.6,8.45,3895,502,7.76,37.52%,9/5/2019
MSFT,140.05,Call,141,9/13/2019,8,1.09,1.12,1.14,1.1,11269,1454,7.75,18.10%,9/5/2019
GM,38.73,Put,38,10/18/2019,43,0.99,1.01,1.02,0.91,1134,147,7.71,24.39%,9/5/2019
MAT,9.81,Call,9.5,9/6/2019,1,0.3,0.38,0.45,0.25,1202,157,7.66,0.00%,9/5/2019
FDX,164.38,Call,165,9/13/2019,8,1.87,1.94,2,2.04,1827,241,7.58,23.68%,9/5/2019
QCOM,78.99,Call,82,9/13/2019,8,0.19,0.22,0.25,0.22,816,110,7.42,23.98%,9/5/2019
GOLD,18.4,Call,18.5,9/6/2019,1,0.13,0.15,0.16,0.16,955,129,7.4,53.40%,9/5/2019
BAC,28.12,Put,27.5,9/6/2019,1,0.02,0.03,0.03,0.03,18135,2452,7.4,35.92%,9/5/2019
CIEN,39.62,Call,40,9/6/2019,1,0.3,0.33,0.37,0.36,3874,526,7.37,63.46%,9/5/2019
JPM,112.37,Call,114,9/13/2019,8,0.59,0.62,0.65,0.64,2974,407,7.31,19.11%,9/5/2019
WPM,30,Call,30.5,9/20/2019,15,0.65,0.68,0.7,0.71,3393,469,7.23,37.95%,9/5/2019
ACB,5.86,Put,8,10/18/2019,43,2.31,2.41,2.51,2.42,2029,281,7.22,110.30%,9/5/2019
COHR,155.89,Call,160,11/15/2019,71,11.7,12.1,12.5,14.9,836,116,7.21,59.95%,9/5/2019
NVDA,179.74,Call,190,9/13/2019,8,0.55,0.58,0.6,0.58,1798,251,7.16,32.88%,9/5/2019
MET,45.95,Put,42.5,10/18/2019,43,0.43,0.45,0.46,0.41,3024,424,7.13,26.39%,9/5/2019
FCX,9.53,Call,11,10/18/2019,43,0.12,0.13,0.14,0.13,23132,3247,7.12,42.26%,9/5/2019
GOLD,18.4,Put,15,3/20/2020,197,0.58,0.6,0.62,0.59,2033,288,7.06,38.30%,9/5/2019
EA,97.45,Call,100,9/13/2019,8,0.6,0.62,0.63,0.66,756,110,6.87,27.66%,9/5/2019
AAPL,213.28,Put,212.5,9/13/2019,8,2.53,2.59,2.64,2.57,4378,644,6.8,23.77%,9/5/2019
CIEN,39.62,Put,35.5,9/6/2019,1,0,0.02,0.04,0.02,1634,241,6.78,107.22%,9/5/2019
MRNS,1.69,Call,3,1/17/2020,134,0.25,0.3,0.35,0.3,1000,148,6.76,146.73%,9/5/2019
VALE,11.33,Put,17,1/15/2021,498,5.8,5.9,6,5.85,2160,320,6.75,37.86%,9/5/2019
NFLX,293.25,Put,292.5,9/6/2019,1,1.72,1.81,1.9,1.85,5154,773,6.67,36.17%,9/5/2019
DIS,138.84,Put,139,9/6/2019,1,0.63,0.66,0.68,0.74,1174,177,6.63,22.79%,9/5/2019
MDB,150.44,Call,155,9/13/2019,8,2.95,3.03,3.1,3.1,708,107,6.62,55.79%,9/5/2019
C,66.34,Put,66.5,9/13/2019,8,1.02,1.04,1.05,1.05,760,115,6.61,25.08%,9/5/2019
INTC,50.1,Put,42,11/15/2019,71,0.45,0.46,0.47,0.42,4044,613,6.6,34.95%,9/5/2019
WYNN,111.33,Put,113,9/6/2019,1,1.91,1.94,1.97,2.01,843,128,6.59,40.85%,9/5/2019
VZ,58.59,Call,59,10/4/2019,29,0.9,0.92,0.93,0.85,1132,174,6.51,15.12%,9/5/2019
AIG,54.68,Call,55.5,9/13/2019,8,0.31,0.35,0.39,0.49,670,103,6.5,25.44%,9/5/2019
ROK,158.7,Call,175,10/18/2019,43,0.75,0.93,1.1,1,1170,181,6.46,25.34%,9/5/2019
AXP,120.67,Call,121,9/6/2019,1,0.31,0.35,0.39,0.37,692,108,6.41,20.43%,9/5/2019
LULU,188.41,Call,200,9/13/2019,8,4.8,4.9,5,4.95,1436,225,6.38,84.03%,9/5/2019
AMRN,16,Put,14,9/13/2019,8,0.01,0.05,0.08,0.08,1030,162,6.36,72.14%,9/5/2019
MSFT,140.05,Put,139,9/6/2019,1,0.26,0.29,0.32,0.3,5591,879,6.36,24.25%,9/5/2019
BA,360.3,Put,360,9/13/2019,8,5.2,5.28,5.35,5.35,1058,167,6.34,26.23%,9/5/2019
DUK,93.41,Call,95,9/20/2019,15,0.35,0.4,0.45,0.45,3329,527,6.32,13.58%,9/5/2019
AXP,120.67,Call,123,9/13/2019,8,0.32,0.36,0.39,0.42,647,103,6.28,17.22%,9/5/2019
CMI,154.66,Put,140,10/18/2019,43,1.2,1.3,1.4,1.18,1038,166,6.25,29.16%,9/5/2019
AMAT,50.35,Call,51,9/27/2019,22,1.25,1.27,1.29,1.45,1265,204,6.2,34.84%,9/5/2019
ZM,92.69,Call,105,9/6/2019,1,1,1.05,1.1,1.05,1838,297,6.19,240.27%,9/5/2019
TGT,108.54,Put,109,9/13/2019,8,1.58,1.62,1.66,1.55,618,100,6.18,20.78%,9/5/2019
CRWD,86.85,Put,70,9/6/2019,1,0.55,0.6,0.65,0.68,1167,189,6.17,329.87%,9/5/2019
CVS,62.76,Call,64,9/6/2019,1,0.02,0.05,0.07,0.02,1326,215,6.17,23.83%,9/5/2019
RL,94.26,Call,115,1/17/2020,134,1.65,1.8,1.95,1.75,1462,237,6.17,32.24%,9/5/2019
GEO,17.85,Call,18,10/18/2019,43,0.95,0.98,1,0.95,1263,205,6.16,40.92%,9/5/2019
LULU,188.41,Call,202.5,9/6/2019,1,2.91,3.28,3.65,3.7,965,157,6.15,221.97%,9/5/2019
NVDA,179.74,Call,182.5,9/20/2019,15,3.85,3.9,3.95,3.9,5111,835,6.12,34.82%,9/5/2019
JWN,31.07,Call,32,9/6/2019,1,0.04,0.05,0.06,0.06,970,159,6.1,51.71%,9/5/2019
RL,94.26,Call,105,10/18/2019,43,0.8,0.9,1,0.95,637,105,6.07,31.66%,9/5/2019
V,184.73,Put,160,11/15/2019,71,1.31,1.38,1.45,1.36,4811,794,6.06,29.08%,9/5/2019
AMZN,1840.72,Call,1852.5,9/6/2019,1,3.1,3.28,3.45,3.3,1439,238,6.05,20.19%,9/5/2019
MRK,86.1,Put,86.5,9/6/2019,1,0.55,0.57,0.58,0.66,1094,181,6.04,24.09%,9/5/2019
JPM,112.37,Call,115,9/13/2019,8,0.29,0.32,0.35,0.33,1958,324,6.04,17.95%,9/5/2019
ULTA,236.71,Call,240,9/20/2019,15,4.8,4.95,5.1,5.01,6781,1122,6.04,33.41%,9/5/2019
ATVI,54.58,Call,54.5,9/13/2019,8,1.18,1.19,1.2,1.2,607,101,6.01,35.62%,9/5/2019
LYFT,46.4,Call,45,9/13/2019,8,2.15,2.2,2.25,2.25,1089,184,5.92,52.97%,9/5/2019
SLB,34.06,Put,33,9/6/2019,1,0.03,0.04,0.04,0.03,1101,187,5.89,44.04%,9/5/2019
LULU,188.41,Call,207.5,9/6/2019,1,0.71,1.41,2.1,2.02,1148,195,5.89,200.86%,9/5/2019
COUP,153.41,Call,180,10/18/2019,43,1.2,1.3,1.4,1,782,133,5.88,36.15%,9/5/2019
SAGE,160.13,Put,150,1/17/2020,134,17.4,18,18.6,17.71,830,142,5.85,61.71%,9/5/2019
TLRY,32.08,Call,26,9/20/2019,15,6.05,6.23,6.4,6.02,1380,236,5.85,13.59%,9/5/2019
PBR,14.14,Put,14,9/13/2019,8,0.21,0.22,0.23,0.22,593,102,5.81,34.58%,9/5/2019
ADBE,287.75,Call,315,9/20/2019,15,0.5,0.57,0.63,0.55,4191,726,5.77,29.77%,9/5/2019
FEYE,13.59,Call,14,10/18/2019,43,0.57,0.61,0.65,0.66,2993,520,5.76,44.28%,9/5/2019
IBM,140.97,Call,145,9/13/2019,8,0.22,0.25,0.27,0.24,834,145,5.75,16.87%,9/5/2019
VRTX,179.86,Call,190,10/18/2019,43,2.35,2.55,2.75,2.55,2208,385,5.74,24.65%,9/5/2019
TSM,44.24,Call,46,10/18/2019,43,0.75,0.83,0.9,0.84,2658,465,5.72,24.72%,9/5/2019
GTS,19.09,Put,15,10/18/2019,43,0.25,0.35,0.45,0.4,570,100,5.7,75.05%,9/5/2019
C,66.34,Call,68,9/20/2019,15,0.61,0.62,0.62,0.62,2461,433,5.68,23.26%,9/5/2019
DIS,138.84,Put,138,9/20/2019,15,1.66,1.69,1.72,1.78,946,167,5.66,19.89%,9/5/2019
TWTR,45.3,Put,44.5,9/13/2019,8,0.54,0.55,0.56,0.54,721,128,5.63,33.60%,9/5/2019
BAC,28.12,Put,28.5,9/6/2019,1,0.41,0.42,0.43,0.43,4322,770,5.61,30.68%,9/5/2019
PYPL,111.46,Put,109,9/13/2019,8,0.59,0.63,0.66,0.68,1272,231,5.51,25.17%,9/5/2019
GLW,28.58,Call,30,11/15/2019,71,0.99,1,1,0.99,11786,2143,5.5,30.25%,9/5/2019
HEXO,4.51,Call,4.5,2/21/2020,169,0.85,0.9,0.95,0.89,629,115,5.47,71.64%,9/5/2019
SQ,63.02,Call,63,9/13/2019,8,1.28,1.3,1.32,1.3,3827,699,5.47,34.29%,9/5/2019
NFLX,293.25,Call,287.5,9/6/2019,1,6.05,6.2,6.35,6.23,3518,645,5.45,37.49%,9/5/2019
AMZN,1840.72,Call,1850,9/13/2019,8,15.7,15.95,16.2,16,2225,410,5.43,18.30%,9/5/2019
COUP,153.41,Put,135,10/18/2019,43,2.4,2.53,2.65,2.6,1050,194,5.41,45.97%,9/5/2019
W,119.6,Put,90,10/18/2019,43,0.6,0.68,0.75,0.7,1010,187,5.4,58.22%,9/5/2019
AMGN,207.65,Put,207.5,9/13/2019,8,2.55,2.72,2.9,2.76,542,101,5.37,23.50%,9/5/2019
UNM,26.28,Call,25,9/20/2019,15,1.35,1.5,1.65,1.54,557,104,5.36,34.12%,9/5/2019
AXL,7.21,Put,6,4/17/2020,225,0.75,0.8,0.85,0.8,5005,934,5.36,66.41%,9/5/2019
FDX,164.38,Put,162.5,9/6/2019,1,0.52,0.55,0.59,0.53,696,130,5.35,36.77%,9/5/2019
BABA,178.94,Put,177.5,9/6/2019,1,0.55,0.6,0.64,0.58,2708,508,5.33,31.28%,9/5/2019
RVLV,23.35,Call,22.5,9/20/2019,15,1.65,1.78,1.9,1.77,1921,361,5.32,69.63%,9/5/2019
MU,49.03,Call,50,10/4/2019,29,2.29,2.31,2.33,2.25,1286,243,5.29,48.04%,9/5/2019
QURE,47.66,Call,55,12/20/2019,106,3.5,4,4.5,4.4,1210,229,5.28,67.59%,9/5/2019
LULU,188.41,Call,187.5,9/20/2019,15,10.45,11.45,12.45,10.64,704,134,5.25,66.50%,9/5/2019
RTN,185.27,Put,160,10/18/2019,43,0.64,0.94,1.23,0.72,942,181,5.2,31.57%,9/5/2019
AMZN,1840.72,Put,1825,9/6/2019,1,2.12,2.39,2.65,2.43,1695,326,5.2,20.81%,9/5/2019
QCOM,78.99,Call,75.5,9/13/2019,8,3.55,3.72,3.9,3.6,559,108,5.18,21.02%,9/5/2019
