Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
UBER,31.96,Call,32.00,09/13/19,7,0.65,0.68,0.70,0.68,1394,213,6.54,38.41%,"15:49 ET"
AMZN,1834.1,Put,1830.00,09/06/19,0,0.56,0.63,0.70,0.69,6620,1012,6.54,0.00%,"15:59 ET"
AOBC,6.08,Put,6.00,10/18/19,42,0.35,0.4,0.45,0.40,1048,161,6.51,55.18%,"14:51 ET"
ADI,112.85,Put,105.00,10/18/19,42,1.50,1.58,1.65,1.60,1012,156,6.49,30.91%,"12:43 ET"
HD,231.14,Put,230.00,09/06/19,0,0.00,0.02,0.03,0.02,1088,168,6.48,0.00%,"15:54 ET"
ROKU,170.02,Put,165.00,09/06/19,0,0.01,0.02,0.02,0.01,11275,1741,6.48,0.00%,"15:56 ET"
SPWR,12.78,Put,12.00,09/13/19,7,0.12,0.13,0.14,0.11,665,103,6.46,56.40%,"15:55 ET"
PYPL,110.29,Call,116.00,10/04/19,28,0.65,0.67,0.69,0.75,695,108,6.44,21.84%,"15:21 ET"
AAPL,213.91,Put,212.50,09/06/19,0,0.02,0.03,0.03,0.02,29287,4555,6.43,0.00%,"15:57 ET"
LK,20.7,Call,20.00,09/13/19,7,0.85,0.95,1.05,0.95,2073,324,6.4,52.65%,"15:58 ET"
BYND,155.07,Call,160.00,09/13/19,7,1.50,1.58,1.65,1.60,2577,403,6.39,39.37%,"16:01 ET"
PANW,217.53,Put,212.50,09/06/19,0,0.01,0.02,0.03,0.01,807,127,6.35,0.00%,"15:45 ET"
ODP,1.53,Call,2.00,10/18/19,42,0.05,0.07,0.08,0.05,8712,1375,6.34,86.05%,"15:36 ET"
M,15.45,Put,15.00,01/17/20,133,1.74,1.76,1.77,1.77,19578,3091,6.33,55.65%,"15:48 ET"
COST,304.14,Call,305.00,09/13/19,7,2.45,2.49,2.52,2.48,3750,593,6.32,16.65%,"16:02 ET"
NVTA,21.61,Call,30.00,06/18/21,651,5.80,5.95,6.10,5.65,1459,234,6.24,68.05%,"15:38 ET"
BYND,155.07,Call,155.00,09/06/19,0,0.35,0.45,0.55,0.40,2821,454,6.21,0.00%,"16:01 ET"
SHOP,384.02,Put,385.00,09/06/19,0,2.00,2.43,2.85,2.90,2594,419,6.19,0.00%,"15:59 ET"
SQ,62.34,Call,80.00,09/27/19,21,0.04,0.05,0.05,0.05,1053,171,6.16,49.49%,"15:58 ET"
TWLO,124.5,Put,125.00,09/13/19,7,3.00,3.05,3.10,2.89,667,109,6.12,38.29%,"15:43 ET"
MLCO,20.99,Call,20.00,09/20/19,14,1.15,1.23,1.30,1.30,648,106,6.11,43.73%,"15:13 ET"
V,186.28,Put,177.50,09/13/19,7,0.23,0.25,0.26,0.25,4241,701,6.05,25.62%,"15:48 ET"
DOCU,55.9,Call,65.00,12/20/19,105,1.70,1.78,1.85,1.77,1121,186,6.03,39.73%,"15:03 ET"
GOOG,1209.27,Put,1210.00,09/06/19,0,0.35,1.48,2.60,2.00,613,102,6.01,0.00%,"15:57 ET"
LULU,202.72,Call,207.50,09/13/19,7,1.45,1.48,1.51,1.50,1706,284,6.01,29.05%,"15:50 ET"
AMZN,1834.1,Put,1840.00,09/06/19,0,7.00,7.33,7.65,6.83,1898,317,5.99,0.00%,"15:58 ET"
MU,48.97,Put,49.50,09/13/19,7,1.18,1.19,1.20,1.21,1026,172,5.97,34.30%,"15:43 ET"
BYND,155.07,Put,152.50,09/06/19,0,0.00,0.03,0.05,0.01,5883,989,5.95,0.00%,"15:56 ET"
CLDR,8.85,Call,8.50,10/04/19,28,0.65,0.7,0.75,0.70,592,100,5.92,51.97%,"15:51 ET"
M,15.45,Put,16.50,09/13/19,7,1.47,1.51,1.54,1.44,1000,170,5.88,88.79%,"13:51 ET"
AMZN,1834.1,Put,1817.50,09/06/19,0,0.01,0.03,0.05,0.01,1266,216,5.86,0.00%,"15:57 ET"
NFLX,291.52,Call,292.50,09/06/19,0,0.03,0.06,0.08,0.05,10025,1714,5.85,0.00%,"15:52 ET"
TWTR,45.6,Call,46.00,09/13/19,7,0.55,0.56,0.57,0.55,6182,1072,5.77,29.00%,"15:49 ET"
MSFT,139.55,Call,133.00,09/13/19,7,6.75,6.8,6.85,6.36,1509,262,5.76,4.80%,"13:35 ET"
AMZN,1834.1,Put,1825.00,09/06/19,0,0.09,0.1,0.10,0.10,3989,694,5.75,0.00%,"15:59 ET"
BYND,155.07,Put,145.00,09/13/19,7,1.35,1.38,1.40,1.41,1482,260,5.7,59.89%,"16:01 ET"
TME,12.97,Call,17.00,01/15/21,497,1.00,1.15,1.30,1.02,1540,271,5.68,35.22%,"14:08 ET"
COST,304.14,Call,305.00,09/06/19,0,0.00,0.02,0.03,0.02,6503,1155,5.63,0.00%,"16:03 ET"
FB,187.95,Call,187.50,09/13/19,7,2.54,2.55,2.57,2.62,7400,1319,5.61,22.18%,"15:55 ET"
ALLY,32.57,Put,31.00,12/20/19,105,1.10,1.15,1.20,1.15,1076,193,5.58,28.14%,"15:41 ET"
ATVI,54.78,Put,57.50,11/15/19,70,5.05,5.1,5.15,5.25,900,162,5.56,39.72%,"12:30 ET"
SHOP,384.02,Put,387.50,09/06/19,0,4.60,5.05,5.50,4.92,673,122,5.52,0.00%,"15:56 ET"
ZNGA,5.87,Call,6.00,09/27/19,21,0.16,0.18,0.19,0.18,934,170,5.49,42.45%,"15:11 ET"
INTC,50.9,Put,46.00,03/20/20,196,2.17,2.19,2.21,2.18,1017,186,5.47,31.09%,"15:04 ET"
CRWD,76.2,Put,78.00,09/06/19,0,1.65,1.93,2.20,1.65,611,112,5.46,0.00%,"15:49 ET"
LOW,114.46,Call,114.00,09/13/19,7,1.68,1.71,1.73,1.54,648,119,5.45,19.51%,"15:26 ET"
MA,292.02,Call,300.00,09/13/19,7,0.83,0.85,0.87,0.86,2214,406,5.45,21.05%,"15:47 ET"
ETSY,48.12,Call,50.00,09/20/19,14,0.90,0.93,0.95,0.94,1637,305,5.37,45.70%,"15:51 ET"
ABBV,67.68,Call,65.00,09/13/19,7,2.78,2.82,2.85,2.80,602,113,5.33,22.64%,"15:53 ET"
FB,187.95,Put,187.50,09/06/19,0,0.04,0.05,0.06,0.04,11777,2231,5.28,0.00%,"15:55 ET"
OMI,7.05,Put,5.00,12/20/19,105,0.35,0.43,0.50,0.45,1010,192,5.26,97.43%,"15:39 ET"
LYFT,44.97,Call,45.00,09/13/19,7,1.20,1.25,1.30,1.20,4830,918,5.26,48.75%,"15:44 ET"
COST,304.14,Put,297.50,09/13/19,7,0.88,0.9,0.92,0.90,556,106,5.25,19.43%,"15:53 ET"
INTC,50.9,Put,50.00,11/15/19,70,2.13,2.14,2.14,2.11,1180,225,5.24,29.92%,"14:45 ET"
ALLY,32.57,Put,33.00,12/20/19,105,1.95,2.03,2.10,2.00,670,129,5.19,27.05%,"15:41 ET"
LRCX,228.21,Put,230.00,09/06/19,0,1.81,1.91,2.00,1.75,919,177,5.19,0.00%,"15:10 ET"
NXPI,105.94,Call,109.00,09/20/19,14,1.03,1.05,1.07,1.06,834,161,5.18,26.65%,"15:44 ET"
AAPL,213.91,Put,152.50,09/13/19,7,0.00,0.02,0.04,0.01,1036,200,5.18,83.37%,"15:52 ET"
FIT,3.49,Call,4.00,11/15/19,70,0.22,0.23,0.23,0.23,12272,2371,5.18,67.30%,"15:55 ET"
ROKU,170.02,Call,170.00,09/06/19,0,0.16,0.18,0.20,0.24,22985,4435,5.18,0.00%,"15:58 ET"
AOBC,6.08,Call,6.50,09/13/19,7,0.10,0.13,0.15,0.10,620,120,5.17,72.90%,"13:44 ET"
NVDA,179.28,Call,195.00,09/13/19,7,0.11,0.12,0.13,0.11,1107,214,5.17,32.92%,"15:30 ET"
CARB,15.39,Call,17.50,09/20/19,14,0.20,0.33,0.45,0.45,521,101,5.16,97.12%,"16:01 ET"
GM,38.72,Call,39.00,09/06/19,0,0.00,0.01,0.02,0.02,1114,216,5.16,0.00%,"14:24 ET"
QURE,43.83,Put,45.00,10/18/19,42,3.90,4.15,4.40,3.80,1009,196,5.15,59.85%,"14:06 ET"
ZM,86.96,Call,100.00,09/13/19,7,0.00,0.03,0.05,0.04,1644,322,5.11,48.49%,"15:02 ET"
TAST,8.18,Call,10.00,12/20/19,105,0.10,0.22,0.35,0.35,1505,296,5.08,49.56%,"15:55 ET"
TSLA,228.59,Put,237.50,09/13/19,7,10.60,10.7,10.80,10.70,568,112,5.07,40.31%,"16:02 ET"
BOX,17.34,Call,20.00,10/18/19,42,0.20,0.25,0.30,0.24,876,175,5.01,42.85%,"15:47 ET"
LB,16.71,Call,17.50,09/13/19,7,0.10,0.15,0.20,0.15,1091,218,5,46.59%,"15:37 ET"
MET,46.28,Call,46.50,09/13/19,7,0.44,0.45,0.46,0.46,803,161,4.99,21.13%,"15:46 ET"
ZNGA,5.87,Call,6.00,11/15/19,70,0.44,0.46,0.48,0.44,2461,498,4.94,48.06%,"15:53 ET"
FL,39.53,Call,40.00,09/06/19,0,0.00,0.03,0.05,0.14,541,110,4.92,0.00%,"12:23 ET"
CME,223.81,Call,175.00,09/20/19,14,48.20,48.7,49.20,48.30,520,106,4.91,0.00%,"16:01 ET"
LYFT,44.97,Call,47.50,09/13/19,7,0.35,0.4,0.45,0.40,579,118,4.91,50.39%,"15:49 ET"
CME,223.81,Put,210.00,10/18/19,42,1.90,1.95,2.00,2.00,1298,265,4.9,23.66%,"16:01 ET"
ZM,86.96,Call,90.00,09/13/19,7,1.10,1.18,1.25,1.20,724,149,4.86,50.59%,"15:47 ET"
WYNN,111.85,Put,112.00,09/06/19,0,0.21,0.24,0.27,0.23,896,185,4.84,0.00%,"15:51 ET"
QSR,75.77,Call,82.50,10/18/19,42,0.30,0.38,0.45,0.37,1330,275,4.84,21.66%,"14:32 ET"
MO,44.09,Call,45.00,09/13/19,7,0.22,0.26,0.30,0.29,3110,642,4.84,26.13%,"15:51 ET"
VRTX,181.9,Put,177.50,09/20/19,14,1.65,1.73,1.80,2.35,506,105,4.82,30.69%,"10:57 ET"
NEM,38.74,Put,39.00,09/20/19,14,1.05,1.07,1.08,1.09,1130,235,4.81,31.64%,"15:49 ET"
AMZN,1834.1,Call,1837.50,09/13/19,7,15.60,15.75,15.90,15.80,604,126,4.79,16.71%,"15:59 ET"
JD,31.18,Put,27.50,09/20/19,14,0.07,0.08,0.09,0.08,1368,286,4.78,43.45%,"15:03 ET"
CAT,122.59,Put,123.00,09/06/19,0,0.37,0.45,0.52,0.40,3670,770,4.77,0.00%,"15:53 ET"
LYFT,44.97,Call,45.00,09/06/19,0,0.00,0.03,0.05,0.10,1920,403,4.76,0.00%,"15:35 ET"
ACM,37.58,Call,37.50,10/18/19,42,1.45,1.53,1.60,1.58,2534,534,4.75,29.46%,"13:07 ET"
TRGP,37.4,Call,38.00,10/18/19,42,1.35,1.43,1.50,1.45,2360,498,4.74,34.17%,"15:34 ET"
AMZN,1834.1,Call,1842.50,09/06/19,0,0.05,0.08,0.10,0.07,2527,533,4.74,0.00%,"15:58 ET"
AEO,16.15,Call,17.50,09/13/19,7,0.00,0.05,0.10,0.08,788,167,4.72,51.70%,"13:13 ET"
CGC,27.69,Call,28.00,09/13/19,7,0.64,0.65,0.65,0.66,1668,356,4.69,51.16%,"16:02 ET"
MMM,163.79,Put,155.00,06/19/20,287,10.75,10.9,11.05,11.05,604,129,4.68,28.87%,"14:24 ET"
TBPH,21.76,Call,22.50,09/20/19,14,0.00,0.48,0.95,0.60,1085,232,4.68,54.24%,"15:12 ET"
TWLO,124.5,Call,132.00,09/13/19,7,0.43,0.44,0.45,0.42,710,152,4.67,37.11%,"15:44 ET"
LLY,113.89,Call,117.00,09/13/19,7,0.24,0.27,0.29,0.28,555,119,4.66,19.67%,"15:19 ET"
COST,304.14,Call,302.50,09/06/19,0,1.26,1.34,1.42,1.25,4630,994,4.66,0.00%,"16:03 ET"
MNK,1.88,Call,2.00,09/06/19,0,0.00,0.03,0.05,0.05,1774,385,4.61,0.00%,"15:15 ET"
MA,292.02,Put,292.50,09/06/19,0,0.37,0.44,0.51,0.51,523,114,4.59,0.00%,"15:47 ET"
WDC,62.17,Call,62.50,09/06/19,0,0.01,0.03,0.05,0.03,2069,452,4.58,0.00%,"14:55 ET"
SHOP,384.02,Put,382.50,09/06/19,0,0.65,0.73,0.80,0.89,1032,226,4.57,0.00%,"15:58 ET"
HD,231.14,Call,235.00,09/20/19,14,2.05,2.07,2.08,2.05,5538,1216,4.55,19.65%,"15:58 ET"
CGC,27.69,Call,28.00,09/06/19,0,0.01,0.03,0.04,0.01,2968,656,4.52,0.00%,"15:47 ET"
FB,187.95,Call,187.50,09/06/19,0,0.44,0.46,0.48,0.55,23747,5254,4.52,0.00%,"15:55 ET"
BYND,155.07,Put,150.00,09/13/19,7,2.75,2.83,2.90,2.77,2676,595,4.5,59.35%,"16:01 ET"
ATVI,54.78,Call,57.50,10/18/19,42,1.32,1.33,1.33,1.30,9931,2205,4.5,31.22%,"16:00 ET"
ZEN,78.69,Put,77.50,09/20/19,14,1.65,1.7,1.75,1.80,1136,253,4.49,38.65%,"15:47 ET"
LULU,202.72,Call,200.00,10/18/19,42,9.40,9.55,9.70,9.52,1791,399,4.49,28.46%,"15:46 ET"
CHD,76.02,Put,65.00,04/17/20,224,1.65,1.78,1.90,1.63,540,122,4.43,26.12%,"11:24 ET"
BABA,176.94,Call,180.00,12/20/19,105,11.10,11.18,11.25,11.20,1036,235,4.41,32.00%,"15:56 ET"
HTZ,12.41,Put,15.00,01/15/21,497,4.30,4.7,5.10,4.76,3006,683,4.4,57.99%,"15:11 ET"
LULU,202.72,Put,190.00,09/06/19,0,0.00,0.01,0.02,0.02,1142,261,4.38,0.00%,"15:32 ET"
CME,223.81,Call,185.00,09/20/19,14,38.30,38.95,39.60,38.50,3502,800,4.38,0.00%,"16:02 ET"
AMZN,1834.1,Put,1845.00,09/06/19,0,11.70,12.2,12.70,11.87,624,143,4.36,0.00%,"15:58 ET"
MAS,41.79,Call,43.00,09/20/19,14,0.35,0.43,0.50,0.45,3369,774,4.35,27.61%,"15:04 ET"
SPWR,12.78,Put,13.00,09/13/19,7,0.46,0.5,0.53,0.52,530,122,4.34,58.30%,"15:50 ET"
BA,362.9,Put,360.00,09/06/19,0,0.02,0.03,0.04,0.03,2116,490,4.32,0.00%,"15:59 ET"
BA,362.9,Put,352.50,09/20/19,14,3.20,3.28,3.35,3.25,810,188,4.31,26.37%,"15:52 ET"
ICE,95.1,Call,95.00,12/20/19,105,3.50,3.9,4.30,4.33,1316,305,4.31,19.44%,"14:08 ET"
BITA,12.98,Call,15.00,01/17/20,133,1.35,1.43,1.50,1.40,1178,274,4.3,66.86%,"16:01 ET"
COST,304.14,Call,300.00,09/13/19,7,5.50,5.58,5.65,5.50,1828,425,4.3,16.92%,"16:03 ET"
MU,48.97,Put,49.50,09/20/19,14,1.58,1.59,1.60,1.63,671,157,4.27,35.65%,"14:25 ET"
ZM,86.96,Call,90.00,09/06/19,0,0.00,0.03,0.05,0.01,1417,332,4.27,0.00%,"15:33 ET"
ABT,86.13,Call,86.50,09/20/19,14,0.99,1,1.00,1.03,1026,241,4.26,17.36%,"15:48 ET"
